ID,Prob1
0, 0.52
1, 0.44
2, 0.62
3, 0.49
4, 0.72
5, 0.50
6, 0.64
7, 0.54
8, 0.49
9, 0.44
10, 0.60
11, 0.60
12, 0.42
13, 0.64
14, 0.73
15, 0.75
16, 0.72
17, 0.65
18, 0.61
19, 0.48
20, 0.62
21, 0.67
22, 0.50
23, 0.56
24, 0.66
25, 0.53
26, 0.63
27, 0.59
28, 0.61
29, 0.56
30, 0.60
31, 0.52
32, 0.69
33, 0.48
34, 0.66
35, 0.51
36, 0.56
37, 0.36
38, 0.64
39, 0.75
40, 0.62
41, 0.29
42, 0.60
43, 0.58
44, 0.69
45, 0.66
46, 0.58
47, 0.63
48, 0.62
49, 0.59
50, 0.53
51, 0.49
52, 0.26
53, 0.55
54, 0.53
55, 0.54
56, 0.54
57, 0.49
58, 0.46
59, 0.61
60, 0.64
61, 0.43
62, 0.49
63, 0.49
64, 0.73
65, 0.59
66, 0.47
67, 0.56
68, 0.44
69, 0.63
70, 0.60
71, 0.75
72, 0.71
73, 0.37
74, 0.46
75, 0.59
76, 0.59
77, 0.66
78, 0.57
79, 0.46
80, 0.55
81, 0.64
82, 0.63
83, 0.77
84, 0.57
85, 0.73
86, 0.62
87, 0.57
88, 0.37
89, 0.75
90, 0.55
91, 0.72
92, 0.62
93, 0.67
94, 0.72
95, 0.63
96, 0.45
97, 0.60
98, 0.75
99, 0.59
100, 0.60
101, 0.60
102, 0.47
103, 0.58
104, 0.63
105, 0.61
106, 0.52
107, 0.50
108, 0.54
109, 0.68
110, 0.49
111, 0.62
112, 0.52
113, 0.63
114, 0.58
115, 0.54
116, 0.66
117, 0.58
118, 0.45
119, 0.58
120, 0.47
121, 0.66
122, 0.65
123, 0.53
124, 0.43
125, 0.49
126, 0.65
127, 0.67
128, 0.70
129, 0.55
130, 0.54
131, 0.61
132, 0.49
133, 0.62
134, 0.62
135, 0.63
136, 0.48
137, 0.49
138, 0.61
139, 0.70
140, 0.52
141, 0.53
142, 0.37
143, 0.54
144, 0.75
145, 0.63
146, 0.60
147, 0.54
148, 0.58
149, 0.49
150, 0.49
151, 0.72
152, 0.48
153, 0.47
154, 0.62
155, 0.72
156, 0.56
157, 0.58
158, 0.66
159, 0.27
160, 0.65
161, 0.43
162, 0.75
163, 0.50
164, 0.59
165, 0.34
166, 0.51
167, 0.64
168, 0.72
169, 0.60
170, 0.49
171, 0.62
172, 0.73
173, 0.61
174, 0.55
175, 0.56
176, 0.52
177, 0.46
178, 0.68
179, 0.54
180, 0.52
181, 0.64
182, 0.69
183, 0.49
184, 0.49
185, 0.62
186, 0.60
187, 0.34
188, 0.68
189, 0.62
190, 0.65
191, 0.45
192, 0.65
193, 0.52
194, 0.56
195, 0.28
196, 0.55
197, 0.66
198, 0.48
199, 0.44
200, 0.52
201, 0.65
202, 0.52
203, 0.55
204, 0.73
205, 0.54
206, 0.48
207, 0.51
208, 0.52
209, 0.62
210, 0.63
211, 0.65
212, 0.48
213, 0.55
214, 0.52
215, 0.58
216, 0.68
217, 0.67
218, 0.37
219, 0.47
220, 0.26
221, 0.53
222, 0.52
223, 0.48
224, 0.61
225, 0.61
226, 0.49
227, 0.65
228, 0.57
229, 0.52
230, 0.50
231, 0.49
232, 0.66
233, 0.51
234, 0.55
235, 0.49
236, 0.63
237, 0.51
238, 0.62
239, 0.59
240, 0.58
241, 0.62
242, 0.47
243, 0.51
244, 0.58
245, 0.35
246, 0.63
247, 0.60
248, 0.57
249, 0.25
250, 0.72
251, 0.33
252, 0.60
